age,gender,dore
13,مرد,no
15,مرد,no
17,,no
20,زن,no
19,مرد,no
50,مرد,no
23,زن,no
22,مرد,no
25,مرد,no
20,زن,no
40,مرد,no
17,مرد,no
22,مرد,no
21,زن,no
14,مرد,no
16,,no
30,مرد,no
14,مرد,no
18,مرد,no
23,مرد,no
21,مرد,no
32,زن,no
19,,no
16,,no
16,مرد,no
26,زن,no
18,زن,no
17,,no
18,مرد,no
12,مرد,no
34,زن,no
31,مرد,no
27,مرد,no
25,مرد,no
36,مرد,no
34,مرد,no
17,,no
17,مرد,no
18,,no
18,زن,no
16,مرد,no
35,مرد,no
17,زن,no
15,,no
15,زن,no
14,زن,no
35,زن,no
40,,no
41,مرد,no
15,زن,no
16,مرد,no
20,زن,no
22,زن,no
10,زن,no
37,زن,no
18,زن,no
46,مرد,no
39,,no
16,مرد,no
44,,no
39,زن,no
28,مرد,no
32,,no
29,زن,no
14,,no
34,زن,no
44,زن,no
22,مرد,no
20,مرد,no
22,,no
40,زن,no
18,مرد,no
14,,no
16,,no
36,مرد,no
25,مرد,no
12,مرد,no
27,,no
33,مرد,no
25,مرد,no
41,مرد,no
17,مرد,no
22,مرد,no
44,مرد,no
28,مرد,no
18,مرد,no
35,,no
37,زن,no
45,مرد,no
20,مرد,no
22,مرد,no
32,,no
30,زن,no
21,,no
39,مرد,no
18,مرد,no
16,,no
19,زن,no
13,مرد,no
24,زن,no
24,زن,no
17,,no
18,مرد,no
31,زن,no
40,مرد,no
43,مرد,no
65,مرد,no
14,مرد,no
34,مرد,no
35,مرد,no
39,مرد,no
41,,no
16,مرد,no
16,مرد,no
29,,no
41,مرد,no
12,زن,no
26,,no
21,مرد,no
33,مرد,no
25,,no
27,,no
17,مرد,no
13,مرد,no
24,زن,no
36,زن,no
17,زن,no
55,مرد,no
23,مرد,no
19,مرد,no
35,زن,no
19,زن,no
18,مرد,no
14,مرد,no
21,زن,no
17,مرد,no
44,مرد,no
30,زن,no
29,مرد,no
42,مرد,no
19,زن,no
39,زن,no
16,مرد,no
17,مرد,no
19,,no
24,مرد,no
26,زن,no
23,مرد,no
21,مرد,no
20,مرد,no
20,,no
19,مرد,no
16,,no
34,,no
20,مرد,no
47,مرد,no
30,زن,no
43,زن,no
22,,no
28,مرد,no
28,مرد,no
30,,no
18,مرد,no
27,مرد,no
16,زن,no
39,زن,no
18,مرد,no
20,زن,no
18,زن,no
16,,no
22,مرد,no
22,مرد,no
51,مرد,no
16,زن,no
22,مرد,no
17,مرد,no
40,مرد,no
20,زن,no
22,مرد,yes
13,مرد,no
18,زن,no
22,مرد,no
21,مرد,no
17,مرد,no
21,زن,no
37,,no
22,مرد,no
36,زن,no
35,مرد,no
45,مرد,no
44,مرد,no
23,,no
19,زن,no
44,,yes
13,مرد,no
27,,no
30,,no
37,,no
35,مرد,no
34,مرد,no
25,مرد,no
54,مرد,no
25,زن,no
21,زن,no
29,زن,no
21,مرد,no
20,مرد,no
35,مرد,no
32,مرد,no
25,,no
17,,no
26,مرد,no
15,,no
29,,no
30,مرد,no
34,مرد,no
55,مرد,no
54,مرد,no
18,مرد,no
23,مرد,no
33,,no
26,زن,no
13,مرد,no
34,مرد,no
25,,no
43,مرد,no
20,,no
39,,no
40,,no
40,,no
52,,no
14,زن,no
35,مرد,no
16,زن,yes
16,,no
18,مرد,no
46,,no
40,,no
36,زن,no
13,مرد,no
45,,no
25,زن,no
28,مرد,no
18,مرد,no
18,مرد,no
17,,no
22,,no
37,مرد,no
23,زن,no
20,,no
21,مرد,no
35,مرد,no
18,,no
20,مرد,no
20,زن,no
18,مرد,no
24,مرد,no
45,مرد,no
25,مرد,no
16,,no
39,مرد,no
22,زن,no
18,مرد,no
25,مرد,no
22,مرد,no
27,زن,no
18,مرد,no
29,مرد,no
16,مرد,no
37,مرد,no
19,مرد,no
21,مرد,no
52,,no
24,,no
20,مرد,no
17,مرد,no
16,مرد,no
16,مرد,no
18,مرد,no
38,مرد,no
21,زن,no
17,مرد,no
25,مرد,no
40,مرد,no
37,مرد,no
17,مرد,no
24,,no
19,,no
22,زن,no
17,,no
18,مرد,no
17,,no
26,زن,no
18,مرد,no
18,مرد,no
52,مرد,no
42,مرد,no
27,مرد,no
29,مرد,no
15,مرد,no
16,زن,no
22,مرد,no
47,مرد,no
17,,no
36,,no
22,مرد,no
25,زن,no
36,مرد,no
19,مرد,no
29,زن,no
24,مرد,no
32,,no
17,مرد,no
16,زن,no
16,مرد,no
16,مرد,no
17,مرد,no
18,زن,no
38,مرد,no
17,مرد,no
18,مرد,no
27,زن,no
17,مرد,no
40,,no
21,,no
22,مرد,no
21,زن,no
21,مرد,no
20,مرد,no
21,مرد,no
25,زن,no
22,مرد,no
32,زن,no
22,زن,no
23,مرد,no
16,مرد,no
16,مرد,no
16,مرد,no
32,مرد,no
17,مرد,no
23,,no
30,زن,no
14,زن,no
11,,no
22,زن,no
49,زن,no
26,مرد,no
29,مرد,no
32,زن,no
21,مرد,no
18,,no
24,زن,no
19,,no
19,مرد,no
24,مرد,no
35,مرد,no
46,زن,no
21,زن,no
17,زن,no
30,مرد,no
22,مرد,no
18,زن,no
17,زن,no
39,,no
29,,no
46,زن,no
21,مرد,no
19,زن,no
35,مرد,no
18,,no
20,,no
23,مرد,no
14,مرد,no
23,مرد,no
37,,no
25,زن,no
18,زن,no
45,زن,no
18,مرد,no
20,زن,no
31,مرد,no
22,مرد,no
35,زن,no
21,مرد,no
23,,no
17,,no
22,,no
27,مرد,no
20,مرد,no
41,مرد,no
23,زن,no
18,,no
24,مرد,no
17,مرد,no
31,مرد,no
39,مرد,no
15,مرد,yes
44,زن,no
24,,no
21,مرد,no
21,مرد,no
42,مرد,no
20,زن,no
20,,no
23,,no
18,,no
18,مرد,no
19,زن,no
16,مرد,no
16,مرد,no
37,مرد,no
41,زن,no
21,مرد,yes
37,زن,no
53,,no
16,زن,no
29,,no
18,مرد,no
20,مرد,no
18,زن,no
16,زن,no
17,زن,no
20,زن,no
24,زن,no
19,,no
16,,no
18,مرد,no
16,,no
18,زن,no
22,مرد,no
16,زن,no
18,,no
19,مرد,no
29,,no
20,زن,no
28,مرد,no
15,مرد,no
33,زن,no
24,مرد,no
15,مرد,no
25,مرد,no
46,مرد,no
25,مرد,no
16,مرد,no
13,مرد,no
15,مرد,no
22,مرد,no
15,مرد,no
23,زن,no
47,مرد,no
21,مرد,no
21,زن,no
17,زن,no
16,مرد,no
50,مرد,no
17,زن,no
25,مرد,no
28,,no
17,مرد,no
47,,no
26,زن,no
42,مرد,no
48,,no
23,زن,no
20,زن,no
18,مرد,no
16,مرد,no
20,مرد,no
18,زن,no
26,مرد,no
17,مرد,no
18,,no
48,زن,no
18,زن,no
18,,no
17,مرد,no
18,زن,no
33,,no
22,مرد,no
19,,no
16,مرد,no
15,,no
20,مرد,no
19,زن,no
16,مرد,no
23,,no
21,زن,no
25,مرد,no
44,مرد,no
37,مرد,no
40,مرد,no
24,زن,no
34,,no
38,,no
15,مرد,no
16,مرد,no
20,زن,no
40,مرد,no
20,,no
15,,no
17,زن,no
21,زن,no
17,زن,no
21,زن,no
50,مرد,no
19,زن,no
45,,no
21,,no
37,زن,no
40,,no
34,,no
21,مرد,no
14,مرد,no
19,مرد,no
16,مرد,no
40,مرد,no
19,,no
19,مرد,no
20,مرد,no
18,زن,no
29,مرد,no
20,مرد,no
37,,no
20,زن,no
18,,no
15,مرد,no
29,زن,no
20,زن,no
20,مرد,no
41,مرد,no
14,مرد,no
38,مرد,no
34,مرد,no
19,مرد,no
21,زن,no
22,مرد,no
16,مرد,no
16,زن,no
40,,no
17,,no
22,زن,no
15,مرد,no
20,زن,no
48,مرد,no
23,,no
15,زن,no
25,,no
29,مرد,no
19,مرد,no
15,زن,no
16,,no
20,مرد,no
24,مرد,no
40,مرد,no
17,مرد,no
31,,no
21,مرد,no
18,زن,no
23,مرد,no
12,زن,no
31,مرد,no
24,زن,no
21,زن,no
18,مرد,no
48,مرد,no
13,زن,no
17,,no
31,زن,no
19,,no
30,زن,no
33,زن,no
14,زن,no
42,,no
17,زن,no
32,مرد,no
38,مرد,no
19,,no
19,زن,no
21,مرد,no
27,مرد,no
37,زن,no
22,,no
22,مرد,no
9,زن,no
17,مرد,no
41,زن,no
40,,no
22,مرد,no
25,مرد,no
22,مرد,no
41,,no
15,,no
20,زن,no
40,زن,no
25,زن,no
18,مرد,no
17,مرد,no
19,مرد,no
19,مرد,no
21,,no
13,,no
30,زن,no
18,زن,no
42,زن,no
15,مرد,no
15,زن,no
31,زن,no
25,مرد,no
16,مرد,no
35,مرد,no
24,مرد,no
30,زن,no
25,زن,no
24,مرد,no
15,زن,no
17,زن,no
19,,no
20,زن,no
16,زن,no
17,مرد,no
16,مرد,no
42,زن,no
44,مرد,no
24,,no
19,مرد,no
14,زن,no
21,زن,no
24,,no
30,,no
21,مرد,no
17,مرد,no
23,مرد,no
22,زن,no
39,,no
15,,no
47,مرد,no
15,زن,no
21,زن,no
20,زن,no
18,مرد,no
18,مرد,no
27,مرد,no
12,مرد,no
27,زن,no
31,مرد,no
17,مرد,no
18,مرد,no
15,زن,no
37,زن,no
40,زن,no
21,زن,no
29,,no
25,زن,no
43,مرد,no
37,زن,no
17,مرد,no
35,,no
28,,no
14,زن,no
22,مرد,no
14,مرد,no
21,مرد,no
19,زن,no
17,زن,no
19,,no
39,,no
15,مرد,no
23,مرد,no
42,,no
19,زن,no
24,مرد,no
34,,no
26,زن,no
18,,no
17,مرد,no
22,مرد,no
22,زن,no
42,زن,no
32,زن,no
22,,no
14,زن,no
15,مرد,no
40,مرد,no
17,زن,no
20,مرد,no
20,زن,no
26,مرد,no
22,مرد,no
50,مرد,no
25,مرد,no
14,مرد,no
16,مرد,no
19,,no
17,مرد,no
15,,no
25,مرد,no
18,زن,no
19,مرد,no
23,زن,no
13,مرد,no
34,,no
27,,no
48,مرد,no
37,مرد,no
16,مرد,no
19,,no
20,مرد,no
18,,no
36,مرد,no
35,مرد,no
39,مرد,no
23,زن,no
38,زن,no
17,زن,no
19,زن,no
50,مرد,no
32,مرد,no
22,مرد,no
20,مرد,no
24,,no
20,مرد,no
14,زن,no
14,,no
46,,no
24,مرد,no
19,مرد,no
14,مرد,no
21,مرد,no
21,زن,yes
20,مرد,yes
19,,no
18,مرد,no
18,,no
21,مرد,no
36,مرد,no
19,مرد,no
34,زن,no
20,مرد,no
28,مرد,no
17,مرد,no
20,مرد,no
17,مرد,no
21,زن,no
27,,no
18,مرد,no
20,زن,no
25,مرد,no
26,زن,no
18,,no
27,مرد,no
22,,no
38,مرد,no
20,مرد,no
19,مرد,no
14,مرد,no
18,زن,no
35,مرد,no
25,زن,no
20,,no
16,مرد,no
13,مرد,no
19,مرد,no
17,مرد,no
19,مرد,no
18,,no
18,مرد,no
17,مرد,no
19,مرد,no
19,زن,no
18,,no
22,زن,no
19,مرد,no
60,مرد,no
24,مرد,no
30,مرد,no
44,مرد,no
15,مرد,no
39,مرد,no
18,مرد,no
41,مرد,no
12,مرد,no
16,زن,no
24,مرد,no
23,مرد,no
13,مرد,no
32,زن,no
19,مرد,no
19,مرد,no
15,مرد,no
15,زن,no
38,مرد,no
44,زن,no
30,زن,no
42,مرد,no
26,,no
26,,no
24,مرد,no
29,,no
31,مرد,yes
26,مرد,no
36,مرد,no
32,زن,no
29,,no
16,مرد,no
37,زن,no
20,مرد,no
35,زن,no
22,مرد,no
21,زن,no
18,,no
52,مرد,no
20,مرد,no
19,زن,no
16,,no
19,مرد,no
16,,no
24,مرد,no
34,,no
46,,no
44,زن,no
18,زن,no
39,مرد,no
26,مرد,no
50,زن,no
46,,no
23,مرد,no
37,,no
35,مرد,no
17,مرد,no
50,زن,no
26,زن,no
35,مرد,no
18,مرد,no
17,,no
18,زن,no
65,مرد,yes
42,مرد,no
28,زن,no
35,زن,no
45,مرد,no
27,زن,no
17,,no
48,مرد,no
23,مرد,no
17,,no
18,مرد,no
15,,yes
35,مرد,no
40,زن,no
55,مرد,no
15,زن,no
24,زن,no
28,,no
21,,no
17,مرد,no
33,زن,no
22,زن,no
40,مرد,no
22,مرد,no
17,مرد,no
19,زن,no
20,,no
42,زن,no
22,مرد,no
36,مرد,no
19,زن,no
52,زن,no
39,مرد,no
45,مرد,no
16,مرد,no
17,مرد,no
20,,no
19,مرد,no
22,مرد,no
42,مرد,no
34,زن,no
36,مرد,no
16,مرد,no
19,مرد,no
30,مرد,no
40,,no
37,مرد,no
23,زن,no
24,,no
34,مرد,no
22,,no
27,زن,no
33,,no
19,,no
17,,no
14,مرد,no
33,مرد,no
27,زن,no
15,مرد,no
20,مرد,no
36,,no
43,مرد,no
36,زن,no
34,مرد,no
37,مرد,no
17,مرد,no
18,مرد,no
23,زن,no
41,زن,no
33,مرد,no
18,زن,no
37,زن,no
14,زن,no
40,,no
15,مرد,no
13,مرد,no
17,,no
20,مرد,no
48,مرد,no
40,مرد,no
40,,no
18,مرد,no
13,مرد,no
26,زن,no
37,مرد,no
20,مرد,no
22,زن,no
26,زن,no
33,,no
17,زن,no
19,مرد,no
19,مرد,no
20,زن,no
18,مرد,no
20,زن,no
28,مرد,no
21,مرد,no
42,مرد,no
19,زن,no
38,مرد,no
19,مرد,no
19,مرد,no
40,زن,no
58,زن,no
22,زن,no
19,زن,no
20,مرد,no
36,زن,no
20,مرد,no
19,زن,no
32,مرد,no
10,زن,no
18,زن,no
21,مرد,no
25,مرد,no
15,زن,no
16,زن,no
19,مرد,no
23,مرد,yes
40,زن,no
38,زن,no
28,,no
22,زن,no
23,مرد,no
19,زن,no
17,,no
39,زن,no
23,مرد,no
18,مرد,no
28,زن,no
20,مرد,no
36,مرد,no
23,,no
20,زن,no
19,مرد,no
23,مرد,no
26,زن,no
15,مرد,no
22,,no
23,مرد,no
14,مرد,no
17,مرد,no
18,زن,no
22,مرد,no
29,مرد,no
48,مرد,no
37,زن,no
24,مرد,no
35,مرد,no
14,,no
19,مرد,no
20,زن,yes
26,مرد,no
18,مرد,no
21,مرد,yes
45,مرد,no
40,مرد,no
34,مرد,no
21,مرد,yes
21,مرد,no
19,زن,yes
19,زن,yes
21,,no
21,مرد,yes
21,مرد,yes
21,مرد,yes
21,مرد,yes
18,مرد,yes
20,مرد,yes
18,مرد,no
18,,no
18,,no
55,مرد,no
17,زن,no
43,مرد,no
21,,no
14,,no
20,زن,no
22,زن,no
23,مرد,no
20,مرد,no
19,مرد,no
40,مرد,no
42,,no
17,زن,no
14,زن,no
24,مرد,no
17,زن,no
26,زن,no
18,مرد,no
18,مرد,no
46,زن,no
14,,no
19,زن,no
24,مرد,no
18,زن,no
20,,no
17,زن,no
19,زن,no
35,مرد,no
16,زن,no
20,,no
31,مرد,no
21,مرد,yes
25,زن,no
17,مرد,yes
30,مرد,yes
14,مرد,no
20,مرد,no
30,مرد,no
30,مرد,no
16,مرد,yes
14,زن,no
18,زن,no
16,زن,no
27,مرد,yes
18,مرد,no
26,زن,yes
26,زن,yes
23,مرد,no
39,,no
16,مرد,no
24,مرد,no
15,مرد,no
18,مرد,no
16,مرد,no
17,,no
45,زن,no
27,مرد,no
20,مرد,yes
21,مرد,yes
20,زن,no
15,مرد,no
18,مرد,no
52,زن,no
25,زن,no
26,مرد,yes
14,مرد,no
49,مرد,no
22,مرد,no
16,مرد,no
23,مرد,yes
19,,no
14,مرد,no
28,مرد,no
20,مرد,no
18,,no
18,زن,no
31,مرد,no
19,,no
23,مرد,no
21,مرد,no
31,مرد,no
17,,no
16,,no
20,زن,no
14,,no
16,مرد,no
31,مرد,no
18,,no
18,مرد,no
35,مرد,no
38,مرد,no
14,مرد,no
18,زن,no
34,مرد,no
36,مرد,yes
45,مرد,no
19,زن,no
27,مرد,no
17,زن,no
40,مرد,no
23,مرد,no
23,,no
19,مرد,no
15,زن,no
24,مرد,no
51,زن,no
20,زن,no
20,,no
26,زن,no
21,مرد,no
25,مرد,no
19,,no
17,مرد,no
15,,no
16,زن,no
13,,no
37,زن,no
36,مرد,no
41,مرد,no
14,,no
18,زن,no
18,,no
40,مرد,no
30,,no
15,زن,no
17,مرد,no
45,زن,no
20,زن,no
16,,no
16,زن,no
15,زن,no
15,مرد,no
29,زن,no
43,مرد,no
18,زن,no
27,مرد,no
13,زن,no
14,مرد,no
36,زن,no
20,زن,no
22,,no
15,مرد,no
13,زن,no
44,مرد,no
21,,no
14,زن,no
15,زن,no
23,زن,no
22,مرد,no
18,مرد,no
22,,no
18,مرد,no
16,,no
28,زن,no
14,زن,no
15,زن,no
13,زن,no
16,مرد,no
17,,no
34,مرد,no
24,مرد,yes
37,مرد,no
16,زن,no
21,,no
32,مرد,no
23,مرد,no
21,مرد,no
22,مرد,no
20,مرد,no
36,مرد,no
28,مرد,no
44,زن,no
15,مرد,no
38,مرد,no
21,مرد,no
30,مرد,no
17,,no
17,,no
18,مرد,no
22,زن,yes
22,زن,yes
20,زن,yes
20,زن,yes
18,مرد,no
56,زن,no
27,زن,no
17,مرد,no
19,مرد,no
18,مرد,no
19,زن,no
15,زن,no
17,,no
21,زن,no
19,زن,no
15,,no
40,مرد,no
17,مرد,no
14,,no
37,مرد,no
18,,no
19,زن,no
14,زن,no
25,زن,no
14,زن,no
15,زن,no
14,زن,no
17,زن,no
22,مرد,no
16,مرد,no
16,,no
19,مرد,no
16,زن,no
35,زن,no
28,مرد,no
22,زن,no
23,مرد,no
25,مرد,no
24,زن,no
14,مرد,no
22,,no
18,زن,no
13,مرد,no
38,زن,no
20,زن,no
22,مرد,no
32,زن,no
36,مرد,no
16,,no
51,مرد,no
20,زن,no
55,مرد,no
20,مرد,no
41,مرد,no
22,,no
14,,no
17,مرد,no
20,مرد,no
18,,no
21,مرد,no
16,,no
39,,no
33,,no
17,زن,no
15,زن,no
43,,no
28,,no
25,زن,no
15,مرد,no
13,مرد,no
15,,no
20,,no
15,,no
15,زن,no
19,مرد,no
34,زن,no
14,زن,no
17,مرد,no
19,مرد,no
41,مرد,no
30,زن,no
17,زن,no
12,زن,no
49,مرد,no
18,,no
28,مرد,no
57,زن,no
18,زن,no
19,,no
32,,no
18,زن,no
15,زن,no
15,,no
19,,no
18,زن,no
13,,no
17,مرد,no
24,زن,no
17,مرد,no
20,مرد,no
18,زن,no
20,زن,no
13,,no
16,زن,no
19,مرد,no
46,,no
33,زن,no
26,مرد,no
19,مرد,no
40,زن,no
24,مرد,no
